P,N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,Task
33,48,2,2,1,120,1,0.73926127294544097,1,1,0.34682830001111098,Test
33,49,3,1,0,122,1,0.368907436466543,2,1,0.27502474584616698,Test
33,50,2,2,1,120,1,0.48450087296077998,2,1,0.42440323645132599,Test
33,51,3,3,1,110,1,0.30147639999631798,2,1,0.241546282341005,Test
33,52,5,4,2,109,1,0.49840657293680102,2,1,0.33309933645068701,Test
33,53,4,1,0,120,0,0.401942136464641,1,1,0.300997784623178,Test
33,54,3,3,1,110,1,0.50334293648484196,0,0,0,Test
33,55,1,1,1,122,1,0.437402572948486,0,0,0,Test
33,56,4,4,1,109,1,0.42149533645715598,2,1,0.32811614812817402,Test
33,57,5,3,2,110,1,0.47685823644860698,0,0,0,Test
33,58,3,2,0,120,1,0.72695383647806,0,0,0,Test
33,59,4,4,1,109,1,0.44498743646545302,1,1,0.35208298233919799,Test
33,60,2,1,0,122,1,0.85069200000725698,0,0,0,Test
33,61,5,3,2,110,1,0.64882410000427604,1,1,0.28636884587467698,Test
33,62,3,4,0,109,1,0.42122850939631501,2,1,0.48270860113552799,Test
33,63,5,2,2,120,1,0.89629700939985901,2,1,0.37596527748974001,Test
33,64,2,4,0,109,1,0.47668649998377099,1,1,0.46755800000391901,Test
33,65,5,1,2,122,1,0.417491136438912,1,1,0.39961116580525402,Test
33,66,2,2,1,120,1,0.50053619997925103,0,0,0,Test
33,67,5,3,2,110,1,0.27809839998371899,1,1,0.29394870001124201,Test
33,68,1,4,0,109,1,0.33872390000033198,2,1,0.36279650940559799,Test
33,69,3,2,0,120,1,0.54345953644951805,2,1,0.40943607295048401,Test
33,70,5,1,2,122,1,0.51302820001728799,1,1,0.25075128348544201,Test
33,71,2,2,1,120,1,0.54885713645489898,2,1,0.27816510939737799,Test
33,72,5,1,2,122,1,0.67319410000345703,0,0,0,Test
33,73,4,4,1,109,1,0.31847537294379402,0,0,0,Test
33,74,2,3,0,110,1,0.72295639998628802,1,1,0.278274136449909,Test
33,75,1,4,0,109,1,0.68926849999115802,1,1,0.62401480940752696,Test
33,76,5,2,2,120,1,0.72040800002287098,0,0,0,Test
33,77,1,1,1,122,1,0.65285657293861699,1,1,0.530830536445137,Test
33,78,5,3,2,110,1,0.52198503643740002,2,1,0.45610159999341698,Test
33,79,4,1,0,120,0,0.43834563644486502,0,0,0,Test
33,80,5,3,2,110,1,0.64513303645071596,0,0,0,Test
33,81,1,2,0,120,1,0.75352260001818705,0,0,0,Test
33,82,4,4,1,109,1,0.524797336460324,1,1,0.40560930941137502,Test
33,83,5,3,2,110,1,0.56983943644445401,2,1,0.50315670939744495,Test
33,84,2,2,1,120,1,0.79623227295815002,1,1,0.380366636440158,Test
33,85,3,1,0,122,1,0.69053957294090695,2,1,0.47069553646724699,Test
33,86,2,2,1,120,1,0.77966893644770596,2,1,0.28141913644503802,Test
33,87,3,3,1,110,1,0.567225609411253,2,1,0.30507539998507099,Test
33,88,5,4,2,109,1,0.56637980940286103,2,1,0.68629468235303703,Test
33,89,4,1,0,122,1,0.93306913645938006,1,1,0.36122610940947197,Test
33,90,3,3,1,110,1,0.63537609999184497,0,0,0,Test
33,91,1,1,1,122,1,0.52881870002602205,0,0,0,Test
33,92,4,4,1,109,1,0.419726245861966,2,1,0.56256650941213604,Test
33,93,5,3,2,110,1,0.65747820941032797,0,0,0,Test
33,94,3,2,0,120,1,0.87743389999377497,0,0,0,Test
33,95,4,4,1,109,1,0.75386217294726499,1,1,0.496960236458108,Test
33,96,2,1,0,122,1,0.564058772928547,0,0,0,Test
33,97,5,3,2,110,1,0.413102836464532,1,1,0.35613477294100498,Test
33,98,3,4,0,109,1,0.74896550941048201,2,1,0.41088497405871799,Test
33,99,5,2,2,120,1,0.41091980002238399,2,1,0.47505857294891002,Test
33,100,2,4,0,109,1,0.49627980942022998,1,1,0.32335583987878602,Test
33,101,5,1,2,122,1,0.55688980940612998,1,1,0.29219690000172699,Test
33,102,2,2,1,120,1,0.54654923646012299,0,0,0,Test
