N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,P,Congruence,Type,Excluded
107,5,3,2,110,1,0.69606433855369687,1,1,0,50,Neutral,NO-GO,0
108,1,1,1,122,1,0.474863699986599,2,1,0.38338823849335302,50,Congruent,GO,0
109,2,2,1,120,1,0.58729333849623788,2,1,0.35985649994108793,50,Congruent,GO,1
110,1,1,1,122,1,0.51361750008072704,2,1,0.86108659999445103,50,Congruent,GO,0
111,2,2,1,120,1,0.54143609991297104,1,1,0,50,Congruent,NO-GO,0
112,4,3,0,110,1,0.43405711546074588,2,1,0.343290299992077,50,Incongruent,GO,0
113,5,1,2,122,1,0.55447079997975401,2,1,0.39572093845345102,50,Neutral,GO,0
114,4,4,1,109,1,0.76060917705763087,1,1,0,50,Congruent,NO-GO,0
115,3,3,1,110,1,0.42874367709737288,1,1,0,50,Congruent,NO-GO,0
116,1,2,0,120,1,0.45079390006139902,2,1,0.44959620002191503,50,Incongruent,GO,0
117,4,4,1,109,1,0.55267819250002503,2,1,0.54145220003556505,50,Congruent,GO,0
118,3,1,0,122,1,0.56954493850935295,2,1,0.46349929994903488,50,Incongruent,GO,0
119,5,4,2,109,1,0.53914020000956986,1,1,0,50,Neutral,NO-GO,0
120,1,1,1,122,1,0.53722933854442101,2,1,0.93613739998545475,50,Congruent,GO,0
121,5,4,2,109,1,0.65074151544831704,2,1,0.40865140000823902,50,Neutral,GO,0
122,2,1,0,122,1,0.54973723844159395,1,1,0,50,Incongruent,NO-GO,0
123,5,3,2,110,1,0.79162571555934902,2,0,0,50,Neutral,Miss,0
124,4,4,1,109,1,0.74591687705833487,1,1,0,50,Congruent,NO-GO,0
125,5,2,2,120,1,0.46529159997589892,1,1,0,50,Neutral,NO-GO,0
126,2,3,0,110,1,0.68839410005602986,2,1,0.40104230004362801,50,Incongruent,GO,0
127,5,4,2,109,1,0.68296873848885287,2,1,0.45117701729759602,50,Neutral,GO,0
128,1,2,0,120,1,1.0914371770341,2,1,0.33280558499973301,50,Incongruent,GO,0
129,4,3,0,110,1,0.40655487705953403,2,1,0.46589039999526,50,Incongruent,GO,0
130,2,2,1,120,1,0.52506593847647287,2,1,0.39729455532506103,50,Congruent,GO,0
131,3,1,0,110,0,0.68549527705181401,1,1,0,50,Incongruent,NO-GO,0
